Date,tn,tx,rh,ff,sr,rr,tn_QC,tx_QC,rh_QC,ff_QC,sr_QC,rr_QC
1997-09-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-12,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-13,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-14,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-15,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-16,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-17,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-18,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-19,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-20,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-21,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-22,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-23,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-10-31,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-11-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
